label,subject,body,phishing_technique,target_name,target_job_title,target_company,spoofed_url,attachment_name,industry
1,"Urgent: Immediate Action Required on your DHL Account, Emma Brown","Dear Emma Brown,

I hope this email finds you well. I am David Miller, a representative from DHL Express. We are reaching out to you regarding a crucial issue associated with your DHL account.

Our records show that there have been some unusual activities on your account over the past 24 hours, which has led to the temporary suspension of your account. This was done as a precautionary measure to protect your account and sensitive data.

To restore your account, we need your immediate action to verify your account information. Please click on the link below to verify your details:

http://dhlverifyaccount.com/emma.brown

Please note, if your account details are not verified within the next 48 hours, your account will remain suspended indefinitely, which may affect any ongoing or future deliveries associated with your account.

We understand this might be an inconvenience, but your security is our priority. If you need any help with the above, please do not hesitate to reach out to our helpline or reply to this email.

Thank you for your understanding and immediate attention to this matter.

Kind regards,

David Miller
Customer Service Representative
DHL Express
Email: support@dhl.com
Telephone: 1-800-225-5345

Note: This is an automated message, please do not reply directly to this email. For any inquiries or additional support, contact us through the provided email or phone number. 

DHL Express | Excellence. Simply Delivered.

Remember, DHL Express will never ask you for any personal information beyond what’s necessary for our services. Always ensure you're on our official website before inputting your details. Stay safe online",homoglyphs,Emma Brown,CRO,United Associates,dhl.соm,,Law
1,Urgent: Immediate Action Required Regarding Your Microsoft Account,"Dear Mr. Robert Brown,

I hope this message finds you well.

My name is John Smith, I am a Senior Account Manager at Microsoft. This email is to inform you about a critical situation that requires your immediate attention.

Our system has picked up irregular activities on your Microsoft account, associated with Premier Freight. This is highly unusual and has raised a potential security concern. For your safety, we have placed a temporary block on your account to prevent any unauthorized access.

To verify your identity and regain access to your account, you must confirm your credentials immediately. Unfortunately, due to the seriousness of the situation, this cannot wait.

Please click on the link below to confirm your credentials:

[Confirm Your Credentials](http://ms-verify-account.com)

Once you have confirmed your identity, the block on your account will be lifted, and you will regain full access.

Please note, if we do not receive a response within 24 hours, your account may be permanently suspended as a security measure to protect your personal information and the integrity of our network.

We understand that this may be inconvenient, but your security and privacy are of utmost importance to us. We appreciate your cooperation in this matter.

Best regards,

John Smith
Senior Account Manager
Microsoft Corporation.
[John.Smith@microsoft.com](mailto:John.Smith@microsoft.com) 
[www.microsoft.com](http://www.microsoft.com)

Microsoft Corporation
One Microsoft Way
Redmond, WA 98052 USA

Please note: This email has been sent from an address that cannot accept incoming emails. If you have any questions, please visit our Support Center at www.support.microsoft.com.",homoglyphs,Robert Brown,CEO,Premier Freight,miсrоsoft.com,,Transportation
1,Urgent Notice: Immediate Action Required on Your Facebook Account!,"From: facebook-security@fbupdates.com

Dear Ms. Emma Smith,

I hope this email finds you well. My name is Jason Clarke and I am an Account Security Manager at Facebook. 

We are reaching out to you because we've detected some unusual activity on the Facebook account associated with Advanced Wellness. We take security issues very seriously, and we need your immediate attention to resolve this matter.

As the CEO of Advanced Wellness, we understand that you have a significant influence and your page serves as a platform to connect with numerous individuals. Therefore, it's crucial that we ensure the safety and integrity of your Facebook account.

To verify your identity and secure your account, it is necessary for you to log in via the link below:

[Secure Your Facebook Account](http://fb-account-security.com)

Please note, if this issue is not resolved within the next 24 hours, we may be forced to temporarily disable your account to protect your followers' information.

We understand the inconvenience this may cause and we appreciate your prompt attention to this serious matter.

If you have any questions or need further assistance, please feel free to contact our support team directly at support@fbupdates.com.

Thank you for your immediate attention to this matter.

Best Regards,

Jason Clarke
Account Security Manager
Facebook Security Team
Facebook, Inc.
1 Hacker Way, Menlo Park, CA 94025

NOTE: This is a service-related email. Facebook will periodically send you such communications as part of the ongoing delivery of our services.",subdomain_spoofing,Emma Smith,CEO,Advanced Wellness,secure.facebook.phishing-domain.com,,Healthcare
1,Urgent: Immediate Action Required to Secure Your Facebook Account,"Dear Mr. John Wilson,

I hope this message finds you well. My name is Alex Turner and I am a member of the Facebook Security Team. We have recently detected suspicious activities related to your professional Facebook account, which is associated with Global Coverage Insurance.

For security purposes, we routinely perform checks on our system and during the most recent scan, we noticed several login attempts from unusual locations. We suspect these could be potential unauthorized access attempts to compromise your account.

To ensure the safety of your personal information, we have temporarily suspended your account until you can verify your identity. Please understand this is a standard security measure intended to protect you and your information.

Kindly click on the link below to confirm your identity and restore full access to your account:

[Insert Phishing Link]

Please note that failure to verify your account within 24 hours will result in permanent suspension of your account. We apologize for the inconvenience, but we take the security of our users very seriously and strive to ensure a safe environment for all.

Should you have any questions or need further assistance, please do not hesitate to get in touch with us. Our dedicated security team is available 24/7 to assist you.

Thank you for your understanding and prompt action.

Best regards,

Alex Turner
Facebook Security Team
Facebook, Inc.
1 Hacker Way, Menlo Park, CA 94025",typosquatting,John Wilson,CRO,Global Coverage,facebook.com,,Insurance
1,Urgent Account Verification Required - Potential Unusual Activity Detected,"From: PayPal Security Services <service@paypal.com>

To: Robert Jones <rjones@unitedhealth.com>

Dear Mr. Jones,

I hope this email finds you well. My name is John McArthur, and I am a part of the Security & Fraud Prevention team at PayPal.

We have identified a potential irregularity in the PayPal account associated with your email address, rjones@unitedhealth.com. This activity is not in line with your usual transaction patterns, and we have temporarily restricted certain account functions as a standard security measure. We understand this may be inconvenient, but your account security is our main priority. 

To resolve this issue and regain full access to your account, we kindly ask you to verify your account by clicking the link below:

[Verify Your Account](http://login.paypal.verify.account.com)

Please note that failure to verify your account within 24 hours will result in a temporary suspension of your account, as per PayPal's Security Policy. We apologize for any inconvenience this may cause, but we take the protection of your financial information very seriously.

If you have any questions or need further assistance, please do not hesitate to contact our dedicated support team at support@paypal.com.

Thank you for your prompt attention to this matter. We appreciate your understanding as we work to ensure your account's security.

Best Regards,

John McArthur
Security & Fraud Prevention
PayPal",homoglyphs,Robert Jones,CFO,United Health,pаypal.cоm,,Healthcare
1,Important Notification: Immediate Action Required on Your Microsoft Account,"Dear Ms. Jane Miller,

I hope this email finds you well. My name is Robert Thompson, I am part of the Account Security team at Microsoft Corporation. 

We have identified an unusual activity on your Microsoft account which is linked to the Premier Coverage domain. This activity has raised concerns about possible security breaches which could potentially expose sensitive company data. 

In order to ensure the safety of your account and the company's data, we are required to verify your account details and perform an immediate security update. This is a mandatory procedure to confirm that you are the rightful owner of the account.

Please click the link below to begin the verification process:

[Click here to Verify your Account]

We understand the critical role you play as the CFO at Premier Coverage and we apologize for any inconvenience this may cause. Please note that failure to perform this mandatory update within the next 24 hours could lead to temporary suspension of your account.

Please do not share the above link with anyone to avoid unauthorized access to your account. 

Thank you for your prompt attention to this matter. If you need any assistance, please don't hesitate to contact our 24/7 support team at support@microsoft.com.

Best Regards,

Robert Thompson
Account Security Team
Microsoft Corporation
One Microsoft Way
Redmond, WA 98052

Please note: This is an automated message; responses will not be received by human staff. For support, please contact our team directly.

Copyright © 2022 Microsoft. All rights reserved.",subdomain_spoofing,Jane Miller,CFO,Premier Coverage,service.microsoft.phishing-domain.com,,Insurance
1,Urgent: Imminent Security Threat Detected on Your Microsoft Account,"Dear Emma Wilson,

We hope this message finds you well. We are reaching out to you as the Chief Financial Officer of Elite Insurance in response to a serious security concern related to your Microsoft account. 

We have detected some unusual activities on your Microsoft account, which is linked to your official email. Our automated algorithms identified these activities as potentially harmful and violating our terms of service.

To ensure your personal and professional data remains secure, we kindly request that you verify the recent activities on your Microsoft account by following the link below:

[Click Here to Verify Your Account](#)

Please note, this is an urgent issue that poses a significant threat to your personal and company data. We strongly recommend you to respond immediately to prevent potential data loss or any breach of information.

Remember, Microsoft prioritizes your security and privacy. We will never ask for your password in an email, so never share your password with anyone. Please disregard any emails asking for such information, as they are likely to be fraudulent.

If you have any questions or need further assistance, please feel free to contact our customer support team at 1-800-MICROSOFT or visit our official Microsoft Support website.

Thank you for your immediate attention to this matter. 

Stay safe,

John Doe
Microsoft Security Team
Microsoft Corporation
One Microsoft Way
Redmond, WA 98052
USA",subdomain_spoofing,Emma Wilson,CFO,Elite Insurance,account.microsoft.phishing-domain.com,,Insurance
1,Urgent Action Required: Microsoft Account Security Alert for David Miller,"Dear David Miller,

We hope this finds you well.

This is an urgent communication from Microsoft Support services. We have detected unusual activity from your Microsoft account associated with United Logistics, and we strongly believe your account security has been compromised.

We have temporarily suspended your account to protect your sensitive information and to prevent unauthorized access. To lift this suspension and re-secure your account, immediate action is required.

Please click on the link below to verify your identity and update your security settings.

[Click Here to Secure Your Account](http://www.microsoft-support-security-updates-login.com)

Please note, this link will expire in 24 hours from the time this email was sent. Failure to act within this time frame may result in prolonged suspension of your Microsoft services, affecting your company operations.

We understand that this may be inconvenient, but the safety of your account is our primary concern. Once your identity is verified, and security settings are updated, your account will be fully operational.

If you need assistance or have any questions, please contact our dedicated support team at support@microsoft.com.

Thank you for your swift attention to this matter.

Best regards,

John Doe
Microsoft Support Services
365 Microsoft Building, Redmond, WA, 98052.
support@microsoft.com

Microsoft Corporation
One Microsoft Way
Redmond, WA 98052

Please do not reply to this email, as this email box is not monitored. To contact us, log on to www.microsoft.com and click on 'Contact Us'.

Microsoft respects your privacy. To learn more, please read our online Privacy Statement.

Microsoft Corporation, One Microsoft Way, Redmond, WA, USA 98052

NOTE:",homoglyphs,David Miller,CPO,United Logistics,miсrоsoft.com,,Transportation
1,"URGENT: Immediate Action Required on Your DHL Account, Robert Garcia","From: DHL Support <customerservice@dhl.com>

To: Robert Garcia <rgarcia@elitehealth.com>

Dear Mr. Garcia,

I hope this message finds you well. I am reaching out to you from DHL Express Customer Service regarding an urgent matter that requires your immediate attention.

We have noticed some unusual activity on your DHL account which might compromise the security of your sensitive information. Our system has flagged a potential breach on your DHL account linked to Elite Health.

To ensure the safety of your business transactions and protect your account from any possible threats, we kindly ask you to validate your account as soon as possible. 

Please follow this link [www.dhlaccount-validation.com] to proceed with the validation process. This will only take a few minutes of your time.

We understand the importance of your shipments in the Healthcare industry and we assure you that we are taking every necessary step to resolve this issue promptly.

Your immediate response is greatly appreciated. If you have any questions or concerns, feel free to contact our 24/7 customer service team.

Thank you for your cooperation and understanding. Stay safe!

Best Regards,

John Anderson
DHL Express Customer Service
www.dhl.com

Note: This email was sent from a notification-only email address that cannot accept incoming emails. Please do not reply directly to this message.",homoglyphs,Robert Garcia,CFO,Elite Health,dhl.соm,,Healthcare
1,Immediate Action Required: Unresolved Issue Detected in Your DHL Account,"Dear Ms. Lisa Smith,

I hope this message finds you well. My name is John Bradley, and I am the Customer Service Manager at DHL Express.

I am reaching out to you because we've identified an urgent issue with your DHL account linked with Premier Capital. We have detected some irregular activities that have resulted in the temporary suspension of your account. This might affect the ongoing and future shipments from Premier Capital.

To ensure uninterrupted service, it's crucial for us to validate your account information and resolve this issue promptly. You can do this by clicking on the link below:

[Click Here to Verify Your Account](www.dhl-account-verification.com)

Please note that failing to verify your account within the next 24 hours may lead to permanent suspension, which could severely affect your business operations. We understand the importance of timely deliveries in your industry and hence, we encourage you to take immediate action.

We apologize for any inconvenience caused and appreciate your understanding and cooperation in this matter. Should you need any assistance, please feel free to contact our 24/7 customer support team.

Thank you for choosing DHL Express. We value your business and look forward to serving you better.

Best Regards,

John Bradley
Customer Service Manager
DHL Express

Please note: This is an automated message. Please do not reply directly to this email. If you have any questions or need further assistance, please contact our customer service team.",typosquatting,Lisa Smith,CEO,Premier Capital,dhl.com,,Finance
1,"URGENT: Action Required on Your DocuSign Account, Jane Johnson","From: DocuSign Support <support@docusign.net>

Dear Jane Johnson,

We hope this message finds you well.

We are sending you this important alert due to an unusual activity detected on your DocuSign account. As you know, at DocuSign, we take security very seriously, especially when it pertains to the sensitive documents and agreements of our clients.

We've identified that your account may have been accessed from an unauthorized location. For your safety and to avoid any potential data breach, we've temporarily suspended your account. 

Please understand that this is a precautionary measure intended to protect both you and the integrity of our platform. We realize this may be an inconvenience and we apologize for any disruption this may cause.

To reactivate your account, please click on the link below:

[Click Here to Reactivate Your Account](http://docusign-account-reactivation.fake)

Once you've reactivated your account, we recommend changing your password and enabling two-factor authentication if you have not already done so. 

We understand that as the CEO of United Wellness, the security of your electronic documents is of paramount importance. Please rest assured that we are doing everything we can to ensure the safety of your account.

If you have any questions or need further assistance, please feel free to reach out to our dedicated support team at support@docusign.com. 

Thank you for your immediate attention to this matter.

Best regards,

John Doe
Customer Support Team 
DocuSign, Inc. 

Please note: DocuSign will never ask you for your password or other sensitive information by email. If you receive an email asking for your password, please",subdomain_spoofing,Jane Johnson,CEO,United Wellness,service.docusign.phishing-domain.com,,Healthcare
1,Urgent Action Required: Suspicious Activity Detected on Your PayPal Account,"Dear Mr. John Miller,

I hope this message finds you well. My name is Robert Sullivan, and I am the Vice President of User Services at PayPal. We've recently detected some unusual activity in your PayPal account associated with Elite Partners, and we're reaching out to ensure your financial security. 

Our system flagged a series of transactions that do not align with your regular activity pattern, and we believe these may not have been authorized by you. For your safety, we've temporarily suspended your account to prevent any potential unauthorized actions. 

To resolve this issue quickly and restore full access to your account, please verify your recent transactions and confirm that you are the owner of the account by clicking on the link below:

[Verify Your Account](http://www.paypal-userverification.com)

We apologize for any inconvenience this might have caused, but your financial security is our top priority. Please understand that until we receive a response from you, your PayPal services will remain limited to protect your account from fraudulent activities.

Please do not share the above link with anyone, as it is unique to your account and is meant for your use only. 

We appreciate your prompt attention to this matter. If you need any further assistance, feel free to contact our customer service, available 24/7 to assist you.

Best Regards,

Robert Sullivan
Vice President of User Services
PayPal",homoglyphs,John Miller,CISO,Elite Partners,pаypal.cоm,,Law
1,Urgent: Immediate Action Required for Your DHL Account!,"Dear Ms. Emma Davis,

I hope this message finds you well. This is to inform you that we have detected some unusual activities on your DHL account associated with Advanced Banking.

Our security system has detected multiple login attempts from various geographical locations which raised our security concerns. As a result, we have temporarily suspended your account in order to protect your sensitive information.

To resolve this issue and restore your account, we need your immediate attention. We understand that this may be an inconvenience and we appreciate your cooperation and understanding as we work together to protect your DHL account.

Please click the following link to verify your account and reset your password:

[Reset My DHL Account](http://phishingsite.com)

Please note that failure to verify your account within 24 hours of receiving this email might lead to permanent suspension of your DHL account.

If you have any questions or need assistance, please do not hesitate to contact our customer service team at 1-800-CALL-DHL.

Thank you for your prompt attention to this matter.

Best Regards,

John Smith
Customer Service Manager
DHL Global Forwarding
john.smith@dhl.com
www.dhl.com

Please note: This email and any files transmitted with it are confidential and intended solely for the use of the individual or entity to whom they are addressed. If you have received this email in error, please notify the system manager. Please note that any views or opinions presented in this email are solely those of the author and do not necessarily represent those of the company. Finally, the recipient should check this email and any attachments for the presence of viruses. The company accepts no liability for any damage caused by any",typosquatting,Emma Davis,CFO,Advanced Banking,dhl-.com,,Finance
1,Urgent Action Required: Resolve DHL Account Issue Immediately,"Dear Lisa Johnson,

I hope this email finds you well. My name is John Smith, and I am the Senior Account Manager at DHL Express. Our records indicate that you are the Chief Financial Officer at Premier Logistics, one of our esteemed business partners.

As part of our ongoing commitment to ensuring the utmost security and service to our clients, we have been conducting routine checks on our system. During our latest review, we noticed an unusual activity on your DHL business account. 

For your security, we have temporarily put a hold on your account activities until we can verify this activity and ensure that your account has not been compromised. We understand that this may cause some inconvenience, but the protection of your account and business information is our priority.

To resolve this issue promptly and reactivate your account, we kindly request you to verify your account details. Please click on the link below:

[LINK]

Please understand the urgency of this matter as any delay could potentially impact your business operations. We apologize for any inconvenience caused, and we appreciate your understanding and cooperation in this matter.

If you have any questions or require further assistance, please do not hesitate to contact our Customer Service team at 1-800-DHL-SERV.

Thank you for your prompt attention to this matter. We value your business and look forward to continuing to serve your logistics needs.

Best Regards,
John Smith
Senior Account Manager
DHL Express",typosquatting,Lisa Johnson,CFO,Premier Logistics,dhl-.com,,Transportation
