email_type,subject,body,phishing_technique,target_name,target_job_title,target_company,spoofed_url,attachment_name,industry
phishing,Urgent Action Required: Unusual Activity Detected on Your PayPal Account,"---

Dear Emma Brown,

We hope this email finds you well. We are reaching out to you as the Chief Financial Officer of Elite Insurance in regards to your PayPal business account.

Recently, our automated security system has detected unusual activities on your PayPal business account. These activities raise concerns about potential unauthorized access that could jeopardize the security of your account.

For the safety of your funds and to ensure the continuous operation of your PayPal account, we require you to verify your account information immediately. Please click on the link below to confirm your account details and recent transactions.

[Click here to Verify Your Account](http://www.paypal-secure.com/verify)

Failure to verify your account within 24 hours may lead to temporary suspension of your PayPal account. We understand this may be inconvenient, but we take the safety and security of all our users very seriously, especially key business account holders like yourself.

Once you have successfully verified your account, your PayPal services will return to normal, and any temporary restrictions will be lifted.

Thank you for your immediate attention to this matter. We apologize for any inconvenience this may cause. Please do not reply to this email; instead, if you have any questions or concerns, feel free to contact our customer service team at our official website.

Best Regards,

PayPal Security Team
PayPal Holdings, Inc. 
2211 North First Street, 
San Jose, California, 95131, USA.",homoglyphs,Emma Brown,CFO,Elite Insurance,pаypal.cоm,,Insurance
phishing,Immediate Action Required: Pending Document Verification in your DocuSign Account,"Dear Ms. Emma Davis,

I hope this email finds you well.

My name is George Thompson, Customer Support Manager at DocuSign. We’re reaching out to you because we’ve detected some unusual activity on your DocuSign account which is associated with Premier Invest. 

According to our system, there are pending documents in your account that are yet to be verified. This has flagged your account for potential security risks. As the Chief Information Security Officer (CISO) at Premier Invest, we understand the importance of the security and confidentiality of your business documents. 

We strongly recommend you to take immediate action to resolve this issue. Please click [here](http://please-verify-docudetails.com) to verify the pending documents.

Your quick response to this matter is vital. Failure to verify these documents within 24 hours will result in temporary suspension of your DocuSign account. 

We apologize for the inconvenience this may cause you, but we assure you that this procedure is intended for the security of your DocuSign account and to protect your business from potential threats.

If you require further assistance, please feel free to reply to this email or contact our support team directly at our official website. 

Thank you for your understanding and prompt response.

Best regards,

George Thompson
Customer Support Manager
DocuSign",subdomain_spoofing,Emma Davis,CISO,Premier Invest,account.docusign.phishing-domain.com,,Finance
phishing,Immediate Action Needed - Pending DHL Shipment for United Banking,"Dear Mr. Michael Johnson,

I hope this message finds you well. My name is Martin Bell, Senior Account Manager at DHL International Shipping Services.

It has come to our attention that there is an urgent issue with your DHL account that requires your immediate attention. We have detected irregular shipping activities associated with your account which, if not addressed promptly, could lead to significant delays in your shipments, including the shipment of important financial documents.

Due to the sensitive nature of the problem, we have not included any specific details in this email. However, we have created a secure portal for you to view further details and take the necessary steps to rectify this issue.

Please click here [Secure DHL Link] to log in securely using your DHL account credentials. We urge you to act immediately to avoid any potential disruption to your business operations.

We apologize for any inconvenience this may cause. Our priority is to ensure the security and efficiency of your shipments and we appreciate your understanding and prompt action in this matter.

Should you need further assistance, please do not hesitate to reach out to our dedicated customer support team at 1-800-DHL-SHIP.

Thank you for your prompt attention to this matter.

Best Regards,

Martin Bell
Senior Account Manager
DHL International Shipping Services
martin.bell@dhl.com

IMPORTANT: This message contains confidential information and is intended only for the individual named. If you are not the named addressee, you are notified not to disseminate, distribute, or copy this email. If you have received this email by mistake, please notify the sender immediately by email.",typosquatting,Michael Johnson,CFO,United Banking,dhl.com,,Finance
phishing,Urgent Action Required: Your DocuSign Account Security Compromised,"Dear Mr. Robert Johnson,

I hope this email finds you well.

My name is Liam Smith, Customer Support Supervisor at DocuSign. We have recently detected unusual login activities on your DocuSign account. Due to these suspicious activities, we have temporarily suspended your account to ensure the safety of your data.

As you may know, DocuSign is committed to maintaining the highest level of data security and privacy. Our systems continuously monitor for any potential threats or intrusions, and it seems that your account may have been targeted. 

We understand the importance of your documents and the potential impact this could have on your operations at Advanced Capital. Therefore, we urge you to address this issue immediately.

To resolve this issue and reactivate your account, please click on the link below:

[http://www.docusign-account-verification.com]

Upon clicking the link, you'll be prompted to enter your login details. Once verified, our system will automatically lift the suspension on your account.

We apologize for any inconvenience caused but assure you that this is a necessary measure to protect your account and sensitive data. 

If you have any queries or need further assistance, please do not hesitate to contact our dedicated support team at support@docusign.com.

Thank you for your understanding and swift action.

Best Regards,
Liam Smith
Customer Support Supervisor
DocuSign, Inc.",typosquatting,Robert Johnson,CRO,Advanced Capital,docusign-.com,,Finance
phishing,Urgent: Immediate Action Required on Your Microsoft Account,"Dear Emma Brown,

We hope this message finds you well.

We are reaching out to you from the Microsoft Account Team. We have identified some unusual activity on your Microsoft account associated with Global Invest. Our system has detected several login attempts to your account from unfamiliar locations.

In line with our commitment to ensure the utmost security of our clients' data, we have temporarily suspended your account to prevent unauthorized access. 

To restore your account, kindly follow the link below to confirm your account ownership and reset your password: 

[Click Here to Reset Your Password](http://fake.micosoft-site.com/reset-password)

Please note, this is an urgent matter. If the account verification is not completed within 24 hours of receiving this email, your account may be permanently locked as a security measure to protect sensitive data and information.

We apologize for any inconvenience caused, but we assure you that this measure is taken to safeguard your account and your enterprise's sensitive data. 

Should you have any questions or need further assistance, feel free to contact our support team directly at support@microsoft.com.

Thank you for your prompt attention to this matter.

Best regards,

Michael Scott
Senior Account Manager
Microsoft Corporation
One Microsoft Way
Redmond, WA 98052
michaelscott@microsoft.com",homoglyphs,Emma Brown,CFO,Global Invest,miсrоsoft.com,,Finance
phishing,"Urgent Attention Required: Immediate Action Needed for Microsoft Account, Robert Brown","From: Microsoft Account Support Team <support@microsoftcorp.com>

Dear Robert Brown,

We hope this message finds you well.

We are contacting you regarding an urgent issue related to your Microsoft account. As the CEO of Premier Financial, we understand the importance of maintaining the integrity and security of your information. 

During our routine security check, we have identified some unusual activity on your account. To ensure your account's security and all associated data, we need you to verify your account information immediately.

Please use the following link to verify your account: www.microsoftverify-support.com. 

We assure you this process will take no more than a few minutes of your precious time. Following this, you'll be able to continue enjoying all Microsoft services without any disruptions. 

Please note, failure to verify your account within 24 hours will result in temporary suspension of your Microsoft services, as we prioritize the security of our users above all else.

We apologize for any inconvenience this may cause and truly appreciate your immediate attention towards this issue.

If you have any questions or need further assistance, please do not hesitate to contact our support line at 1-800-MICROSOFT or reply directly to this email.

Thank you once again for your understanding and prompt action,

Best Regards,

Simon Peters,
Microsoft Account Support Team
Microsoft Corporation",typosquatting,Robert Brown,CEO,Premier Financial,microsoft.com,,Finance
phishing,URGENT: Immediate Action Required on Your DocuSign Account,"Dear David Smith,

I hope this email finds you well. 

We are contacting you from the DocuSign Security Department. We've identified some unusual activity on your DocuSign account which appears to be linked to your work at Elite Medical. 

As the Chief Risk Officer (CRO), we understand the crucial role you play in ensuring the security and privacy of your organization's data. 

Our system detected multiple unsuccessful login attempts from various locations. This is concerning as it could potentially lead to a breach of sensitive data. Your immediate action is required to secure your account.

To protect the information you have stored on DocuSign, we have temporarily locked your account. Please click the link below to verify your identity and reset your password.

Click Here to Reset Your Password and Secure Your Account

We apologize for any inconvenience this may cause and appreciate your prompt attention to this serious matter. Remember, it's important to keep your DocuSign password secure and to regularly update it to protect your account.

If you have any questions or concerns, please don't hesitate to contact our dedicated security team at security@docusign.com.

Thank you for your prompt attention to this matter.

Kind regards,

John Doe
Senior Security Advisor 
DocuSign Security Department
john.doe@docusign.com

DocuSign: Secure electronic signatures for everyone, everywhere.
Please note: This email contains links to pages that include secure information intended for you only. Please do not share this email or its contents with anyone. If you have received this email in error, please delete it and contact us at support@docusign.com.

© 2022 DocuSign. All rights reserved",typosquatting,David Smith,CRO,Elite Medical,docu5ign.com,,Healthcare
phishing,Urgent Action Required: Unusual Activity Detected on Your DocuSign Account,"Dear Lisa Brown,

I hope this email finds you well. My name is Michael Scott, and I am a Senior Account Manager at DocuSign. I am reaching out to you regarding an urgent issue that has been flagged with your DocuSign account.

Our security systems have recently detected some unusual activity on your account. This activity seems to be inconsistent with your regular usage and has raised a concern with our security department. As the CFO of United Logistics, we understand the sensitivity of the documents you handle, and we prioritize the security of your information.

Given the urgency of this matter, we require your immediate attention to verify your account and protect it from any potential unauthorized access. Please use the following link to verify your account:

[Click Here to Verify Your Account](http://www.docusign-verify.com)

We kindly ask you to complete this verification process within 24 hours to avoid any disruption to your DocuSign services. 

We apologize for the inconvenience this may cause and appreciate your understanding and cooperation. Your security is our utmost priority, and we are committed to ensuring that your account remains safe and secure.

If you have any questions or concerns, please don't hesitate to contact our support team at support@docusign.com.

Thank you for your immediate attention to this matter.

Best regards,

Michael Scott
Senior Account Manager
DocuSign, Inc.",typosquatting,Lisa Brown,CFO,United Logistics,d0cusign.com,,Transportation
phishing,[Urgent] Security Issue Detected on Your PayPal Business Account,"Dear Mr. Michael Johnson,

I hope this email finds you well.

We are reaching out to you from the PayPal Business Team. During our recent security checks, we noticed some unusual activity on your PayPal Business account associated with Premier Associates.

Given the sensitive nature of your role as a CISO, we wanted to ensure that this action was performed by you and not by someone else. As a crucial part of our security policy, we need to verify this activity to protect your account and your business effectively.

To confirm that you were the one who initiated this activity, please click on the link below to verify your identity:

[Verify Your Account]

In the event that you did not perform the said activity, please follow the same link to secure your account by updating your login credentials. 

Given the critical nature of this issue, we strongly encourage you to rectify this situation within the next 24 hours to avoid any potential disruption to your PayPal services.

We apologize for any inconvenience caused but assure you that this step is crucial to ensuring the security of all transactions done through PayPal.

We appreciate your cooperation.

Best Regards,

John Doe
Security Manager,
PayPal Business Support
1-800-123-4567
support@paypal.com

Note: This is a system-generated e-mail, please do not reply directly. For any queries or concerns, please contact us through our official PayPal Support Page.

PayPal
Copyright © 1996-2022 PayPal. All rights reserved.
PayPal (Europe) S.à r.l. et Cie, S.C.A. Société en Commandite par Actions
Registered Office: 22-24 Boulevard Royal L-",subdomain_spoofing,Michael Johnson,CISO,Premier Associates,login.paypal.phishing-domain.com,,Law
phishing,URGENT: Immediate Action Required Regarding Your Microsoft Account,"Dear David Johnson,

We hope this message finds you well.

This is an urgent notification from Microsoft Security Team. We have detected some suspicious activities on your Microsoft account linked with your work email, david.johnson@elitepartners.com. 

Our system has flagged numerous failed login attempts from unusual geographical locations. To ensure the security of your account, we have temporarily locked it. We understand the inconvenience this may cause, especially given your significant role as CPO at Elite Partners. 

Please verify your account within the next 24 hours to avoid permanent suspension. 

Click here to verify your account: [Suspicious Link]

Please note, this is an automatic security measure taken to protect you and your sensitive information. 

We highly recommend you to act immediately to ensure that your Microsoft services and applications continue to function seamlessly. 

If you did not request this action, or if you have any questions regarding the security of your account, please contact the Microsoft Support Centre immediately.

Thank you for your immediate attention to this matter. 

Best,

Microsoft Security Team  
Microsoft Corporation
One Microsoft Way
Redmond, WA 98052",typosquatting,David Johnson,CPO,Elite Partners,microsoft.com,,Law
